;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CUADRO N° 18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARACTERÍSTICAS SOCIO-DEMOGRÁFICAS - TOTAL - POR GRUPO DE EDAD - 18 A 29 AÑOS, 2009 - 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Desagregaciones;ene.-09;feb.-09;mar.-09;abr.-09;may.-09;jun.-09;jul.-09;ago.-09;sep.-09;oct.-09;nov.-09;dic.-09;ene.-10;feb.-10;mar.-10;abr.-10;may.-10;jun.-10;jul.-10;ago.-10;sep.-10;oct.-10;nov.-10;dic.-10;ene.-11;feb.-11;mar.-11;abr.-11;may.-11;jun.-11;jul.-11;ago.-11;sep.-11;oct.-11;nov.-11;dic.-11;ene.-12;feb.-12;mar.-12;abr.-12;may.-12;jun.-12;jul.-12;ago.-12;sep.-12;oct.-12;nov.-12;dic.-12;ene.-13;feb.-13;mar.-13;abr.-13;may.-13;jun.-13;jul.-13;ago.-13;sep.-13;oct.-13;nov.-13;dic.-13;ene.-14;feb.-14;mar.-14;abr.-14;may.-14;jun.-14;jul.-14;ago.-14;sep.-14;oct.-14;nov.-14;dic.-14;ene.-15;feb.-15;mar.-15;abr.-15;may.-15;jun.-15;jul.-15;ago.-15;sep.-15;oct.-15;nov.-15;dic.-15;ene.-16;feb.-16;mar.-16;abr.-16;may.-16;jun.-16;jul.-16;ago.-16;sep.-16;oct.-16;nov.-16;dic.-16;ene.-17;feb.-17;mar.-17;abr.-17;may.-17;jun.-17;jul.-17;ago.-17;sep.-17;oct.-17;nov.-17;dic.-17;ene.-18;feb.-18;mar.-18;abr.-18;may.-18;jun.-18;jul.-18;ago.-18;sep.-18;oct.-18;nov.-18;dic.-18;ene.-19;feb.-19;mar.-19;abr.-19;may.-19;jun.-19;jul.-19;ago.-19;sep.-19;oct.-19;nov.-19;dic.-19;ene.-20;feb.-20;mar.-20;abr.-20;may.-20;jun.-20;jul.-20;ago.-20;sep.-20;oct.-20;nov.-20;dic.-20;ene.-21;feb.-21;mar.-21;abr.-21;may.-21;jun.-21;jul.-21;ago.-21;sep.-21;oct.-21;nov.-21;dic.-21;ene.-22;feb.-22;mar.-22;abr.-22;may.-22;jun.-22;jul.-22;ago.-22;sep.-22;oct.-22;nov.-22;dic.-22;ene.-23;feb.-23;mar.-23
;0_Menor a 15 años;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1_Entre 15 y 17 años;3.087;3.191;3.214;3.187;3.157;3.185;3.315;3.394;3.360;3.333;3.215;3.060;3.257;3.306;3.401;3.444;3.526;3.818;3.857;3.908;3.944;3.883;3.740;3.478;3.740;3.824;3.843;3.959;4.479;4.915;5.164;5.219;4.976;4.790;4.582;4.239;4.443;4.402;4.334;4.234;4.189;4.151;4.203;4.106;3.829;3.630;3.404;3.080;3.071;3.091;3.121;3.090;2.889;2.871;2.821;2.719;2.568;2.503;2.372;2.133;2.161;2.160;2.169;2.291;2.228;2.140;2.115;2.160;2.125;2.011;1.898;1.742;1.656;1.622;1.598;1.618;1.551;1.507;1.454;1.443;1.323;1.193;1.065;966;898;914;881;895;861;818;803;758;776;730;684;631;629;577;651;665;659;635;626;660;632;600;550;523;537;535;569;582;577;556;557;570;539;543;540;478;474;492;507;516;497;473;490;474;454;409;379;366;351;356;336;286;269;254;264;276;274;279;278;257;261;263;262;280;298;307;335;345;324;315;308;278;271;285;288;297;317;296;311;331;319;305;307;287;280;282;292
;2_Entre 18 y 29 años;551.331;548.357;550.446;555.621;556.457;559.691;562.630;565.691;581.338;588.167;592.965;591.254;587.566;588.109;598.030;606.684;615.939;633.522;640.654;648.089;659.177;669.171;676.963;677.498;674.933;681.767;692.699;707.209;728.584;745.227;757.088;768.774;779.863;789.177;799.569;799.206;797.483;800.515;812.222;821.672;826.553;832.484;840.714;846.060;852.840;863.906;873.359;867.594;868.760;872.104;875.543;882.668;886.521;888.264;891.747;893.903;899.438;906.498;914.171;907.194;902.630;902.651;903.046;908.388;910.519;910.641;913.065;922.102;933.004;942.342;945.586;935.801;926.835;918.565;919.320;918.203;919.176;918.241;914.522;907.515;905.389;898.789;888.332;871.969;846.066;832.988;825.675;819.460;813.939;806.762;804.155;803.090;802.848;805.041;804.464;797.143;791.510;787.470;791.455;790.158;791.885;788.777;783.684;788.677;790.411;793.445;795.872;791.780;790.100;786.320;788.013;791.688;793.177;792.961;794.145;794.977;795.852;800.345;803.280;795.489;788.462;783.341;779.777;781.302;778.913;773.033;774.464;769.530;775.845;771.460;774.825;766.647;760.844;755.644;742.895;692.411;654.907;639.527;633.774;631.623;636.158;643.156;648.695;646.851;644.153;643.594;646.917;649.927;652.939;656.981;658.896;662.294;669.904;675.160;679.566;677.750;676.474;676.788;682.436;686.308;691.124;690.944;692.463;697.586;704.872;710.062;713.408;710.402;705.242;698.905;700.266
;3_Entre 30 y 44 años;684.192;684.128;688.412;698.956;704.942;711.938;716.031;720.505;736.285;744.839;751.416;753.709;755.266;759.386;769.339;780.651;798.699;836.691;848.195;857.800;869.795;881.570;891.201;896.288;900.373;911.862;923.483;939.730;961.217;979.679;994.022;1.006.429;1.020.995;1.034.155;1.046.051;1.051.866;1.057.506;1.064.362;1.077.647;1.089.565;1.102.212;1.113.079;1.124.698;1.134.371;1.145.206;1.158.865;1.170.111;1.172.283;1.180.294;1.187.858;1.196.002;1.205.934;1.215.308;1.222.914;1.230.872;1.236.283;1.243.113;1.251.628;1.259.662;1.258.824;1.257.987;1.262.896;1.264.882;1.270.478;1.276.001;1.281.665;1.286.942;1.295.127;1.307.639;1.317.990;1.324.371;1.322.310;1.320.061;1.319.536;1.324.450;1.323.829;1.328.129;1.332.261;1.334.946;1.334.098;1.337.283;1.336.311;1.332.145;1.322.910;1.307.555;1.301.275;1.297.815;1.293.607;1.291.045;1.290.751;1.289.858;1.291.339;1.293.129;1.298.536;1.299.664;1.297.976;1.294.693;1.293.253;1.298.062;1.297.772;1.301.311;1.302.163;1.304.574;1.307.702;1.310.356;1.315.928;1.319.496;1.318.928;1.319.899;1.319.328;1.322.256;1.327.473;1.332.846;1.336.384;1.340.035;1.343.868;1.348.105;1.355.060;1.358.976;1.357.309;1.353.452;1.351.358;1.350.682;1.353.249;1.355.426;1.352.679;1.355.397;1.354.735;1.359.361;1.360.030;1.362.030;1.358.058;1.354.612;1.351.679;1.344.987;1.308.930;1.276.099;1.261.567;1.254.183;1.250.309;1.251.413;1.255.067;1.259.089;1.258.563;1.254.701;1.257.584;1.262.980;1.265.289;1.271.120;1.276.225;1.279.507;1.282.752;1.288.565;1.293.025;1.295.507;1.295.879;1.292.295;1.297.150;1.303.018;1.305.534;1.312.378;1.316.189;1.320.176;1.326.416;1.330.842;1.335.335;1.338.536;1.336.086;1.330.953;1.327.964;1.330.220
;4_Entre 45 y 64 años;462.958;465.139;468.579;473.435;477.566;482.322;486.475;489.911;496.947;499.630;503.791;506.887;509.794;513.544;519.873;527.992;546.951;593.476;604.688;612.176;620.687;628.213;635.602;641.318;648.026;655.557;663.944;673.543;686.559;699.242;710.003;720.354;730.799;741.130;749.254;756.049;763.375;768.019;777.166;785.686;795.980;805.180;815.537;824.881;833.230;843.138;851.982;856.872;865.458;871.376;878.476;885.863;893.891;901.352;909.028;914.797;920.981;926.769;929.025;929.721;933.288;937.374;939.284;942.712;946.554;950.191;955.126;961.074;966.040;970.868;974.495;974.269;975.045;975.941;979.073;979.534;981.989;986.240;989.419;990.828;993.848;994.906;994.075;991.120;985.008;982.230;981.095;979.078;978.681;979.173;978.082;977.335;979.569;982.372;982.324;982.286;981.047;981.302;984.129;982.709;985.194;986.587;990.800;993.881;996.482;1.000.236;1.002.290;1.003.528;1.004.444;1.003.959;1.005.661;1.007.247;1.009.743;1.012.575;1.016.438;1.020.469;1.023.247;1.027.372;1.030.646;1.031.874;1.031.145;1.031.218;1.031.943;1.032.229;1.034.818;1.033.768;1.036.370;1.037.155;1.039.292;1.039.167;1.040.275;1.039.476;1.038.316;1.037.277;1.035.201;1.019.360;1.003.198;994.587;988.981;986.807;984.977;984.320;985.459;985.368;982.661;983.421;986.965;987.737;991.093;995.002;998.538;1.001.856;1.005.493;1.008.165;1.010.451;1.012.179;1.012.096;1.014.475;1.017.292;1.018.246;1.022.968;1.027.239;1.031.268;1.036.345;1.039.343;1.042.344;1.045.574;1.046.014;1.045.535;1.046.993;1.049.938
;5_65 años y más;52.531;52.720;53.113;53.522;53.863;54.366;55.053;55.595;56.259;54.796;55.528;56.279;56.411;56.603;57.208;59.032;66.240;88.069;91.008;92.289;93.501;94.447;94.427;95.110;95.678;96.393;97.195;98.150;99.504;100.960;102.674;104.241;104.768;106.224;107.569;109.003;110.091;109.661;109.688;111.146;113.061;114.835;117.107;119.145;120.865;122.783;124.504;126.180;127.871;128.825;130.023;131.380;132.802;133.841;135.265;135.231;136.142;137.040;137.720;138.421;139.266;139.976;140.816;141.720;142.675;143.533;144.540;145.313;145.641;146.474;147.160;147.561;147.866;148.318;149.091;149.469;150.243;151.311;152.343;153.293;154.414;155.501;156.259;156.986;156.891;157.144;157.460;157.444;157.801;157.479;157.188;157.481;157.925;158.429;158.373;158.844;158.776;158.874;159.499;159.636;160.289;160.444;161.308;161.783;162.083;162.570;162.996;162.810;162.579;161.783;161.822;161.668;161.549;161.903;162.689;163.301;163.381;163.800;163.997;164.074;163.603;163.048;163.106;162.707;162.736;162.237;162.493;162.939;163.097;163.290;163.758;163.886;163.580;163.032;163.290;163.109;162.522;161.433;160.418;160.400;160.235;159.381;158.973;159.018;157.952;157.113;156.820;156.090;155.900;155.438;155.496;155.544;155.348;155.385;155.375;155.571;154.955;153.934;153.553;152.569;152.094;152.591;151.669;151.705;151.206;150.958;150.941;150.953;149.555;148.686;148.178
;Total Empleo registrado;1.754.099;1.753.535;1.763.764;1.784.721;1.795.985;1.811.502;1.823.504;1.835.096;1.874.189;1.890.765;1.906.915;1.911.189;1.912.294;1.920.948;1.947.851;1.977.803;2.031.355;2.155.576;2.188.402;2.214.262;2.247.104;2.277.284;2.301.933;2.313.692;2.322.750;2.349.403;2.381.164;2.422.591;2.480.343;2.530.023;2.568.951;2.605.017;2.641.401;2.675.476;2.707.025;2.720.363;2.732.898;2.746.959;2.781.057;2.812.303;2.841.995;2.869.729;2.902.259;2.928.563;2.955.970;2.992.322;3.023.360;3.026.009;3.045.454;3.063.254;3.083.165;3.108.935;3.131.411;3.149.242;3.169.733;3.182.933;3.202.242;3.224.438;3.242.950;3.236.293;3.235.332;3.245.057;3.250.197;3.265.589;3.277.977;3.288.170;3.301.788;3.325.776;3.354.449;3.379.685;3.393.510;3.381.683;3.371.463;3.363.982;3.373.532;3.372.653;3.381.088;3.389.560;3.392.684;3.387.177;3.392.257;3.386.700;3.371.876;3.343.951;3.296.418;3.274.551;3.262.926;3.250.484;3.242.327;3.234.983;3.230.086;3.230.003;3.234.247;3.245.108;3.245.509;3.236.880;3.226.655;3.221.476;3.233.796;3.230.940;3.239.338;3.238.606;3.240.992;3.252.703;3.259.964;3.272.779;3.281.204;3.277.569;3.277.559;3.271.925;3.278.321;3.288.658;3.297.892;3.304.379;3.313.864;3.323.185;3.331.124;3.347.120;3.357.439;3.349.224;3.337.136;3.329.457;3.326.015;3.330.003;3.332.390;3.322.190;3.329.214;3.324.833;3.338.049;3.334.356;3.341.267;3.328.433;3.317.703;3.307.988;3.286.709;3.184.096;3.096.995;3.057.368;3.037.620;3.029.415;3.033.057;3.042.203;3.052.494;3.050.057;3.039.728;3.041.975;3.053.944;3.059.323;3.071.350;3.083.953;3.092.772;3.102.791;3.119.634;3.132.050;3.141.207;3.141.657;3.136.091;3.142.632;3.156.587;3.162.954;3.178.881;3.187.259;3.195.887;3.212.383;3.226.582;3.239.004;3.248.766;3.243.742;3.231.565;3.222.830;3.228.894
