;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CUADRO N° 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARACTERÍSTICAS SOCIO-DEMOGRÁFICAS, OCUPACIONALES Y DEL EMPLEADOR - SECTOR DE AFILIACIÓN - SEXO - POR GRUPO DE EDAD, 2009 - 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Desagregaciones;edadc;genero;ene.-09;feb.-09;mar.-09;abr.-09;may.-09;jun.-09;jul.-09;ago.-09;sep.-09;oct.-09;nov.-09;dic.-09;ene.-10;feb.-10;mar.-10;abr.-10;may.-10;jun.-10;jul.-10;ago.-10;sep.-10;oct.-10;nov.-10;dic.-10;ene.-11;feb.-11;mar.-11;abr.-11;may.-11;jun.-11;jul.-11;ago.-11;sep.-11;oct.-11;nov.-11;dic.-11;ene.-12;feb.-12;mar.-12;abr.-12;may.-12;jun.-12;jul.-12;ago.-12;sep.-12;oct.-12;nov.-12;dic.-12;ene.-13;feb.-13;mar.-13;abr.-13;may.-13;jun.-13;jul.-13;ago.-13;sep.-13;oct.-13;nov.-13;dic.-13;ene.-14;feb.-14;mar.-14;abr.-14;may.-14;jun.-14;jul.-14;ago.-14;sep.-14;oct.-14;nov.-14;dic.-14;ene.-15;feb.-15;mar.-15;abr.-15;may.-15;jun.-15;jul.-15;ago.-15;sep.-15;oct.-15;nov.-15;dic.-15;ene.-16;feb.-16;mar.-16;abr.-16;may.-16;jun.-16;jul.-16;ago.-16;sep.-16;oct.-16;nov.-16;dic.-16;ene.-17;feb.-17;mar.-17;abr.-17;may.-17;jun.-17;jul.-17;ago.-17;sep.-17;oct.-17;nov.-17;dic.-17;ene.-18;feb.-18;mar.-18;abr.-18;may.-18;jun.-18;jul.-18;ago.-18;sep.-18;oct.-18;nov.-18;dic.-18;ene.-19;feb.-19;mar.-19;abr.-19;may.-19;jun.-19;jul.-19;ago.-19;sep.-19;oct.-19;nov.-19;dic.-19;ene.-20;feb.-20;mar.-20;abr.-20;may.-20;jun.-20;jul.-20;ago.-20;sep.-20;oct.-20;nov.-20;dic.-20;ene.-21;feb.-21;mar.-21;abr.-21;may.-21;jun.-21;jul.-21;ago.-21;sep.-21;oct.-21;nov.-21;dic.-21;ene.-22;feb.-22;mar.-22;abr.-22;may.-22;jun.-22;jul.-22;ago.-22;sep.-22;oct.-22;nov.-22;dic.-22;ene.-23;feb.-23;mar.-23
;1_Privado;0_Menor a 15 años;1_Hombre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1_Privado;0_Menor a 15 años;2_Mujer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1_Privado;1_Entre 15 y 24 años;1_Hombre;152.992;151.077;151.702;151.861;151.202;151.600;153.767;155.735;158.649;159.633;160.666;159.038;159.422;158.107;160.979;162.821;164.492;167.275;169.036;171.178;174.279;177.344;179.379;178.558;180.039;181.421;184.934;189.364;197.675;204.739;209.634;214.622;217.072;219.233;221.318;219.296;220.247;218.681;219.999;221.801;223.378;224.876;228.281;229.617;230.667;233.554;235.385;232.214;233.833;231.200;232.900;234.957;234.826;234.209;235.353;236.200;237.596;239.544;241.634;237.948;238.505;236.338;235.370;237.035;237.372;236.561;237.660;242.164;245.099;248.115;248.311;244.409;242.124;237.493;237.409;236.225;235.570;234.169;232.252;230.000;228.331;224.914;220.463;213.723;206.145;200.859;197.578;195.505;193.316;190.587;188.888;188.563;188.976;189.260;188.814;185.918;185.234;182.463;184.781;184.299;183.728;182.343;181.988;182.552;183.423;183.765;184.381;182.367;182.561;181.246;181.963;183.384;182.779;182.280;182.690;183.682;183.407;184.243;184.748;181.773;180.443;177.903;176.756;178.340;177.380;175.696;176.496;176.235;176.380;174.342;175.065;172.195;172.164;170.419;165.970;148.489;138.553;135.727;135.694;135.754;138.222;141.921;144.229;143.651;143.967;143.315;144.542;145.960;147.243;148.602;149.470;151.205;154.397;157.043;158.555;157.893;159.081;158.489;159.956;161.181;163.012;162.636;163.296;164.962;166.874;169.086;170.050;168.241;167.614;164.969;166.084
;1_Privado;1_Entre 15 y 24 años;2_Mujer;84.814;83.371;83.109;83.423;83.012;82.865;83.399;83.994;85.631;86.239;87.144;86.626;85.592;84.339;85.960;87.438;88.442;90.040;91.070;92.433;94.539;95.909;97.449;97.331;96.806;96.559;98.194;101.150;104.836;107.333;109.222;111.633;113.282;114.710;116.324;115.868;114.634;113.109;114.039;115.656;116.480;116.388;117.015;118.037;119.033;120.417;122.027;120.812;120.010;118.265;118.452;119.773;120.174;119.780;119.706;119.750;120.449;121.679;123.386;122.317;121.740;120.219;119.540;120.401;121.055;120.432;119.978;121.922;123.183;124.248;125.465;124.512;121.611;119.394;119.155;119.424;119.335;118.835;117.750;116.640;116.342;115.505;114.197;111.997;107.530;104.598;102.476;101.332;99.574;97.530;95.899;95.645;95.724;95.687;95.407;93.772;92.495;91.084;91.511;91.933;92.291;91.977;91.022;91.347;91.986;92.028;92.386;91.768;91.130;90.287;90.446;91.204;90.984;90.450;90.399;90.924;91.416;91.710;92.504;91.166;90.002;88.982;88.576;89.636;89.061;88.287;88.696;88.641;89.258;88.309;89.483;88.057;86.877;85.691;83.113;73.466;66.509;63.041;61.456;60.769;61.221;62.574;64.097;63.856;63.907;63.665;64.165;64.927;64.813;65.464;66.144;66.836;68.470;69.930;71.273;71.042;71.017;70.660;71.278;72.575;73.723;73.811;73.934;74.751;76.387;77.852;79.224;78.637;78.108;77.148;77.662
;1_Privado;2_Entre 25 y 34 años;1_Hombre;299.977;298.993;300.661;302.087;302.789;305.630;308.935;311.799;316.809;319.371;321.756;321.530;324.060;322.502;327.042;330.619;334.269;339.240;342.556;346.029;351.028;355.559;358.830;359.823;362.968;366.187;371.687;377.370;387.993;397.316;404.099;409.871;414.648;418.706;422.241;422.599;426.447;426.393;430.026;432.703;437.096;440.021;443.794;446.250;449.069;453.602;456.889;455.080;459.075;458.048;460.976;463.742;465.206;466.511;469.680;471.597;473.940;476.944;479.090;476.417;478.108;476.789;476.182;477.134;477.680;477.792;479.337;483.445;487.829;490.722;490.903;487.062;485.908;482.123;483.343;481.202;480.390;480.136;479.715;477.917;477.020;473.745;468.544;460.798;453.927;448.328;445.258;442.321;440.157;439.399;438.625;439.211;440.102;441.250;440.238;437.459;436.941;434.257;436.495;435.057;434.578;433.785;434.654;435.745;436.398;438.117;438.988;437.365;438.695;437.173;439.679;441.653;442.699;443.918;445.715;447.791;449.181;451.588;452.071;448.931;448.025;445.575;445.598;448.359;448.323;447.631;449.437;449.110;450.031;448.028;448.267;445.249;446.533;443.640;438.729;414.765;398.004;393.233;392.700;392.012;394.442;398.329;400.841;399.995;399.868;400.689;404.033;405.132;407.631;410.178;411.421;413.196;416.334;418.692;420.313;419.544;420.615;420.509;423.251;424.552;427.168;427.404;429.475;432.309;434.657;436.925;437.749;434.643;433.216;429.279;431.273
;1_Privado;2_Entre 25 y 34 años;2_Mujer;169.876;169.161;169.855;171.033;171.570;172.433;173.629;174.885;177.487;179.020;180.575;181.088;182.291;181.130;182.790;185.494;187.361;189.930;191.555;193.328;196.645;199.058;201.116;202.015;202.841;203.413;206.094;210.447;215.627;219.171;222.170;225.431;229.170;231.850;234.167;234.761;236.433;235.523;237.288;239.567;241.909;242.921;244.036;245.532;248.252;250.831;252.726;252.181;254.065;252.643;253.923;255.581;257.601;258.576;259.569;259.986;262.240;263.662;264.831;264.041;265.562;264.903;264.328;265.104;266.725;266.659;266.411;267.519;270.028;271.636;272.235;271.560;270.870;269.837;269.927;269.897;270.564;270.708;269.757;268.683;269.676;269.075;268.120;265.904;263.072;260.298;258.151;256.881;255.762;254.257;252.621;252.196;253.199;253.306;252.712;251.309;251.287;250.159;250.060;249.923;251.350;251.868;251.783;252.209;254.157;255.447;256.379;255.937;256.798;256.425;256.750;258.833;260.460;260.941;261.319;262.558;264.993;266.924;268.232;266.929;267.351;265.904;266.088;268.652;269.292;269.124;269.727;270.075;271.805;271.512;272.450;271.406;271.892;270.424;268.298;255.497;242.405;235.128;232.292;231.201;232.559;234.443;236.015;236.166;237.229;237.731;239.363;240.464;241.827;243.450;245.171;247.028;249.789;251.737;253.518;253.368;254.613;255.087;256.460;258.318;260.626;261.479;262.000;263.530;265.893;267.551;268.680;267.795;267.730;266.183;266.441
