;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CUADRO N° 46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARACTERÍSTICAS SOCIO-DEMOGRÁFICAS, OCUPACIONALES Y DEL EMPLEADOR - GRUPO DE EDAD - 18 A  29 AÑOS  - POR CONDICIÓN DE TRABAJO, 2009 - 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Desagregaciones;edadcj;ene.-09;feb.-09;mar.-09;abr.-09;may.-09;jun.-09;jul.-09;ago.-09;sep.-09;oct.-09;nov.-09;dic.-09;ene.-10;feb.-10;mar.-10;abr.-10;may.-10;jun.-10;jul.-10;ago.-10;sep.-10;oct.-10;nov.-10;dic.-10;ene.-11;feb.-11;mar.-11;abr.-11;may.-11;jun.-11;jul.-11;ago.-11;sep.-11;oct.-11;nov.-11;dic.-11;ene.-12;feb.-12;mar.-12;abr.-12;may.-12;jun.-12;jul.-12;ago.-12;sep.-12;oct.-12;nov.-12;dic.-12;ene.-13;feb.-13;mar.-13;abr.-13;may.-13;jun.-13;jul.-13;ago.-13;sep.-13;oct.-13;nov.-13;dic.-13;ene.-14;feb.-14;mar.-14;abr.-14;may.-14;jun.-14;jul.-14;ago.-14;sep.-14;oct.-14;nov.-14;dic.-14;ene.-15;feb.-15;mar.-15;abr.-15;may.-15;jun.-15;jul.-15;ago.-15;sep.-15;oct.-15;nov.-15;dic.-15;ene.-16;feb.-16;mar.-16;abr.-16;may.-16;jun.-16;jul.-16;ago.-16;sep.-16;oct.-16;nov.-16;dic.-16;ene.-17;feb.-17;mar.-17;abr.-17;may.-17;jun.-17;jul.-17;ago.-17;sep.-17;oct.-17;nov.-17;dic.-17;ene.-18;feb.-18;mar.-18;abr.-18;may.-18;jun.-18;jul.-18;ago.-18;sep.-18;oct.-18;nov.-18;dic.-18;ene.-19;feb.-19;mar.-19;abr.-19;may.-19;jun.-19;jul.-19;ago.-19;sep.-19;oct.-19;nov.-19;dic.-19;ene.-20;feb.-20;mar.-20;abr.-20;may.-20;jun.-20;jul.-20;ago.-20;sep.-20;oct.-20;nov.-20;dic.-20;ene.-21;feb.-21;mar.-21;abr.-21;may.-21;jun.-21;jul.-21;ago.-21;sep.-21;oct.-21;nov.-21;dic.-21;ene.-22;feb.-22;mar.-22;abr.-22;may.-22;jun.-22;jul.-22;ago.-22;sep.-22;oct.-22;nov.-22;dic.-22;ene.-23;feb.-23;mar.-23
;1_Cuenta Propia;0_Menor a 15 años;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1_Cuenta Propia;1_Entre 15 y 17 años;1;1;1;1;1;1;1;1;;;;;;;;;;1;1;1;1;2;;1;1;;;1;;3;4;5;4;4;4;4;4;2;2;2;2;2;2;3;3;3;2;2;2;2;2;1;1;1;1;1;2;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;1;1;1;1;;;;;;;;;;;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;2;1;1;1;1;1;;;;;;;;;1;1;1;1;1;;;;;;;;
;1_Cuenta Propia;2_Entre 18 y 29 años;1.040;1.054;1.066;1.090;1.120;1.175;1.237;1.282;1.290;1.339;1.387;1.457;1.572;1.625;1.729;1.840;1.960;2.141;2.309;2.471;2.672;2.884;3.072;3.267;3.758;3.946;4.185;4.442;4.651;4.990;5.267;5.623;5.931;6.332;6.753;7.066;7.335;7.422;7.561;7.736;8.011;8.228;8.521;8.779;9.009;9.282;9.737;9.701;9.813;9.809;10.007;10.217;10.369;10.596;10.784;10.865;10.980;11.034;11.188;11.180;11.336;11.280;11.091;10.822;10.630;10.546;10.217;10.000;9.853;9.646;9.493;9.237;9.159;9.029;8.920;8.825;8.784;8.668;8.454;8.303;8.294;8.170;8.128;7.961;7.829;7.726;7.572;7.402;7.312;7.267;7.086;6.951;6.994;6.871;6.759;6.744;6.549;6.471;6.585;6.452;6.308;6.304;6.771;6.986;7.275;7.344;7.461;7.560;8.762;8.573;8.043;8.014;8.052;8.097;8.158;8.363;8.782;8.838;9.429;9.635;9.690;9.625;10.255;9.816;9.719;9.967;9.983;10.041;10.183;10.410;10.576;10.553;10.330;10.444;10.386;10.087;9.769;9.613;9.503;9.880;10.179;10.351;10.557;10.508;10.724;10.741;10.962;11.127;11.306;11.444;11.600;11.727;11.737;11.852;11.833;11.832;12.170;12.289;12.531;12.636;12.739;12.930;13.037;13.122;13.320;13.401;13.347;13.235;13.183;12.891;12.730
;1_Cuenta Propia;3_Entre 30 y 44 años;5.546;5.705;5.932;6.061;6.210;6.398;6.626;6.901;6.989;7.198;7.438;7.710;8.326;8.543;8.905;9.400;9.848;10.676;11.508;12.087;12.867;13.597;14.443;15.253;17.073;17.997;19.005;20.056;20.985;22.443;23.661;24.749;25.793;26.984;27.949;29.144;30.802;31.598;32.510;33.326;34.391;35.455;36.617;37.714;38.824;40.033;41.207;41.867;43.116;43.839;44.711;45.562;46.471;47.568;48.686;49.612;50.055;50.632;51.032;51.477;52.553;52.592;52.607;52.331;52.041;51.852;51.506;51.293;51.059;50.693;50.640;50.399;50.668;50.426;50.331;50.186;50.049;49.901;49.705;49.498;49.527;49.254;49.222;49.090;48.935;48.774;48.535;48.099;47.739;47.531;47.123;46.817;46.653;46.152;45.845;45.633;45.415;45.242;45.102;44.851;44.593;44.493;45.545;45.982;46.400;46.284;46.426;46.663;47.873;47.753;47.494;47.432;47.457;47.511;47.551;47.777;48.233;48.236;48.893;49.126;49.810;49.805;50.382;50.185;50.079;50.178;50.171;50.497;50.726;50.903;51.116;51.287;51.636;51.828;52.064;52.383;52.600;52.516;52.344;52.759;53.183;53.312;53.542;53.484;54.030;54.212;54.601;55.126;55.505;55.780;56.376;56.579;56.869;56.943;56.878;56.850;57.578;57.685;58.037;58.417;58.591;58.725;58.931;59.285;59.600;59.745;59.612;59.472;59.842;59.544;59.863
;1_Cuenta Propia;4_Entre 45 y 64 años;8.753;8.988;9.402;9.620;9.895;10.216;10.587;10.910;11.249;11.699;12.086;12.583;13.453;13.898;14.615;15.241;15.903;17.125;18.124;19.000;19.947;21.022;22.075;23.037;25.185;26.222;27.456;28.777;30.113;31.952;33.424;34.869;36.212;37.567;39.113;40.536;42.474;43.896;45.242;46.442;47.927;49.273;50.832;52.200;53.548;55.013;56.365;57.446;59.070;60.158;61.350;62.599;63.739;65.067;66.566;67.847;68.868;69.927;70.856;71.606;73.054;73.509;73.823;73.946;73.992;74.095;74.224;74.264;74.461;74.422;74.470;74.576;75.006;75.106;75.341;75.478;75.625;75.785;75.853;75.838;75.919;75.923;76.101;76.142;76.185;76.187;76.106;75.993;75.893;75.858;75.926;75.906;75.998;75.935;75.906;75.881;75.911;75.933;75.999;76.098;76.084;76.083;77.588;78.558;79.190;79.488;79.844;80.100;81.031;81.342;81.560;81.819;82.103;82.470;82.911;83.395;84.033;84.300;84.867;85.293;86.219;86.588;87.254;87.386;87.475;87.830;88.010;88.317;88.589;88.905;89.379;89.760;90.424;90.765;91.106;91.758;92.385;92.807;93.054;93.729;94.084;94.529;94.839;95.167;95.869;96.095;96.716;97.211;97.651;97.980;98.346;98.732;98.981;99.201;99.310;99.487;100.359;100.701;101.058;101.511;101.770;102.090;102.478;102.874;103.254;103.550;103.754;104.153;104.885;105.163;105.844
;1_Cuenta Propia;5_65 años y más;624;638;653;675;691;710;758;769;790;811;845;886;924;955;1.006;1.033;1.083;1.154;1.230;1.269;1.342;1.423;1.507;1.544;1.713;1.818;1.907;1.968;2.044;2.159;2.316;2.442;2.592;2.704;2.837;2.948;3.114;3.237;3.358;3.480;3.626;3.770;3.928;4.090;4.181;4.384;4.526;4.689;4.843;4.958;5.138;5.310;5.460;5.599;5.741;5.936;6.101;6.231;6.320;6.408;6.549;6.562;6.590;6.630;6.673;6.710;6.734;6.726;6.782;6.809;6.846;6.913;6.950;6.986;7.023;7.060;7.122;7.170;7.262;7.279;7.333;7.402;7.448;7.521;7.541;7.587;7.664;7.660;7.755;7.821;7.864;7.976;8.003;8.069;8.166;8.252;8.300;8.364;8.415;8.496;8.554;8.641;8.902;9.063;9.239;9.358;9.501;9.696;9.872;9.976;10.144;10.225;10.355;10.460;10.606;10.722;10.844;10.985;11.124;11.254;11.386;11.459;11.539;11.602;11.673;11.802;11.833;12.026;12.162;12.318;12.469;12.566;12.761;12.868;13.093;13.316;13.473;13.555;13.703;13.913;13.994;14.157;14.283;14.424;14.438;14.507;14.550;14.619;14.676;14.779;14.917;15.001;15.029;15.101;15.161;15.248;15.249;15.274;15.340;15.387;15.458;15.516;15.601;15.647;15.707;15.764;15.816;15.900;15.918;15.901;15.943
;2_Patronos;0_Menor a 15 años;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
