;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CUADRO N° 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARACTERÍSTICAS SOCIO-DEMOGRÁFICAS - SECTOR PRIVADO - POR PROVINCIA, 2009 - 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Desagregaciones (Provincia);Descripcion;ene.-09;feb.-09;mar.-09;abr.-09;may.-09;jun.-09;jul.-09;ago.-09;sep.-09;oct.-09;nov.-09;dic.-09;ene.-10;feb.-10;mar.-10;abr.-10;may.-10;jun.-10;jul.-10;ago.-10;sep.-10;oct.-10;nov.-10;dic.-10;ene.-11;feb.-11;mar.-11;abr.-11;may.-11;jun.-11;jul.-11;ago.-11;sep.-11;oct.-11;nov.-11;dic.-11;ene.-12;feb.-12;mar.-12;abr.-12;may.-12;jun.-12;jul.-12;ago.-12;sep.-12;oct.-12;nov.-12;dic.-12;ene.-13;feb.-13;mar.-13;abr.-13;may.-13;jun.-13;jul.-13;ago.-13;sep.-13;oct.-13;nov.-13;dic.-13;ene.-14;feb.-14;mar.-14;abr.-14;may.-14;jun.-14;jul.-14;ago.-14;sep.-14;oct.-14;nov.-14;dic.-14;ene.-15;feb.-15;mar.-15;abr.-15;may.-15;jun.-15;jul.-15;ago.-15;sep.-15;oct.-15;nov.-15;dic.-15;ene.-16;feb.-16;mar.-16;abr.-16;may.-16;jun.-16;jul.-16;ago.-16;sep.-16;oct.-16;nov.-16;dic.-16;ene.-17;feb.-17;mar.-17;abr.-17;may.-17;jun.-17;jul.-17;ago.-17;sep.-17;oct.-17;nov.-17;dic.-17;ene.-18;feb.-18;mar.-18;abr.-18;may.-18;jun.-18;jul.-18;ago.-18;sep.-18;oct.-18;nov.-18;dic.-18;ene.-19;feb.-19;mar.-19;abr.-19;may.-19;jun.-19;jul.-19;ago.-19;sep.-19;oct.-19;nov.-19;dic.-19;ene.-20;feb.-20;mar.-20;abr.-20;may.-20;jun.-20;jul.-20;ago.-20;sep.-20;oct.-20;nov.-20;dic.-20;ene.-21;feb.-21;mar.-21;abr.-21;may.-21;jun.-21;jul.-21;ago.-21;sep.-21;oct.-21;nov.-21;dic.-21;ene.-22;feb.-22;mar.-22;abr.-22;may.-22;jun.-22;jul.-22;ago.-22;sep.-22;oct.-22;nov.-22;dic.-22;ene.-23;feb.-23;mar.-23
;01;Azuay;73.294;74.920;75.246;75.639;76.249;76.349;76.733;76.834;78.385;79.162;79.695;80.393;81.273;79.488;80.742;81.854;83.136;84.440;85.033;85.757;87.786;89.238;90.311;90.567;91.786;92.752;93.879;95.466;98.492;101.471;103.455;104.943;107.201;108.659;109.996;110.438;112.330;112.230;113.628;114.729;116.232;116.908;117.625;118.194;119.050;120.028;121.311;120.855;127.479;127.069;128.322;129.366;129.911;130.469;131.000;131.176;131.948;132.943;133.323;133.426;134.237;133.178;133.665;134.485;135.209;134.715;134.703;135.501;137.252;138.409;139.066;138.447;138.933;138.390;139.425;139.338;139.699;139.842;139.938;139.758;140.384;139.903;139.086;137.489;138.126;137.552;136.826;135.789;135.403;134.976;134.608;133.979;134.391;134.363;134.355;133.473;132.817;131.707;132.333;132.207;131.798;131.475;131.776;131.948;132.643;133.245;134.073;133.782;133.908;133.426;134.599;135.093;135.310;135.801;136.446;136.771;137.903;138.447;138.351;137.398;137.218;136.684;136.863;137.578;137.740;137.198;137.427;137.031;137.814;137.491;137.455;136.605;136.982;136.188;135.184;128.989;121.563;117.839;117.141;117.393;118.924;120.394;121.991;122.656;122.967;123.283;124.425;125.543;126.034;126.860;127.371;127.920;128.922;129.837;130.331;130.478;130.683;131.023;132.301;132.918;133.979;133.929;134.433;135.438;136.280;137.134;137.277;136.716;136.667;135.532;136.573
;02;Bolívar;2.009;1.831;1.853;1.847;1.858;1.875;1.891;1.928;1.951;2.005;2.009;2.075;2.117;2.109;2.190;2.310;2.456;2.630;2.722;2.798;2.957;3.023;3.128;3.203;3.364;3.598;3.750;4.008;4.238;4.602;4.694;4.904;5.060;5.175;5.275;5.230;5.294;5.258;5.342;5.339;5.493;5.577;5.641;5.724;5.824;5.906;6.025;6.035;6.150;6.107;6.174;6.311;6.299;6.377;6.628;6.691;6.761;6.743;6.803;6.725;6.583;6.552;6.481;6.406;6.396;6.470;6.458;6.528;6.535;6.671;6.874;6.815;6.714;6.608;6.579;6.483;6.492;6.643;6.635;6.646;6.622;6.668;6.568;6.486;6.293;6.225;6.151;6.100;6.133;6.068;5.951;5.906;5.928;5.912;5.902;5.851;5.897;5.913;5.958;6.055;6.055;6.048;6.028;5.996;5.947;6.032;5.996;6.028;6.108;6.200;6.441;6.526;6.490;6.494;6.451;6.542;6.450;6.528;6.616;6.573;6.383;6.202;6.295;6.477;6.374;6.370;6.359;6.358;6.324;6.277;6.450;6.323;6.120;6.129;6.181;5.983;5.945;5.914;6.051;6.087;6.162;6.130;6.057;5.958;5.977;6.054;6.106;6.099;6.209;6.276;6.294;6.268;6.220;6.205;6.151;6.101;6.061;5.929;5.905;5.914;6.257;6.188;6.299;6.233;6.247;6.572;6.545;6.188;6.016;5.993;6.168
;03;Cañar;6.399;6.500;6.616;6.684;6.812;6.941;7.691;7.775;8.071;8.268;8.350;7.958;7.890;7.929;8.074;8.263;8.405;8.686;9.387;9.561;9.746;10.070;10.290;10.503;10.335;10.432;10.614;10.940;11.379;11.755;12.541;12.686;12.895;13.011;13.080;13.094;12.600;12.509;12.631;12.746;12.816;13.024;13.544;13.669;13.750;14.039;13.905;13.838;13.952;13.476;13.548;13.672;13.871;14.041;14.980;15.160;15.272;15.454;15.572;15.391;14.821;14.836;14.887;14.790;14.796;14.987;15.432;15.417;13.888;14.104;14.131;14.061;17.782;16.713;16.773;16.751;16.709;16.628;17.966;18.192;18.353;18.337;18.117;17.927;17.594;16.344;16.380;16.255;16.189;17.001;17.065;17.115;17.165;17.229;17.123;16.979;15.958;15.768;15.887;15.807;15.977;16.025;17.041;17.108;17.266;17.336;17.422;17.490;16.497;16.097;16.232;16.218;16.349;16.644;17.719;17.971;17.950;17.977;18.004;17.938;16.993;16.688;16.608;16.725;16.752;16.632;17.543;17.370;17.478;17.526;17.572;17.527;17.564;16.677;16.411;15.656;15.232;15.832;16.375;16.252;16.197;16.251;16.158;16.103;15.438;15.451;15.487;15.264;15.469;15.768;16.501;16.608;16.819;16.917;16.932;16.849;16.087;16.031;16.204;16.024;16.144;16.687;17.070;17.195;17.402;17.255;17.242;17.093;16.236;16.245;16.179
;04;Carchi;4.122;4.204;4.270;4.310;4.322;4.393;4.410;4.477;4.583;4.564;4.583;4.570;4.708;4.754;4.825;4.937;5.032;5.112;5.247;5.314;5.425;5.463;5.570;5.605;5.878;5.999;6.073;6.180;6.402;6.511;6.614;6.733;6.879;6.929;6.919;6.904;7.058;7.131;7.271;7.248;7.412;7.550;7.626;7.686;7.821;7.889;8.023;8.106;8.328;8.321;8.397;8.409;8.464;8.545;8.661;8.790;8.831;8.902;8.949;9.007;9.073;9.094;9.132;9.095;9.094;9.170;9.205;9.255;9.370;9.467;9.577;9.493;9.311;9.322;9.321;9.286;9.269;9.318;9.344;9.202;9.197;9.117;9.067;8.962;8.926;8.925;8.841;8.819;8.716;8.818;8.729;8.687;8.667;8.628;8.631;8.621;8.685;8.678;8.517;8.518;8.620;8.656;8.680;8.923;8.954;8.987;9.115;9.068;9.117;9.108;9.133;9.337;9.352;9.139;9.174;9.149;9.149;9.168;9.072;9.045;9.133;9.210;9.201;9.120;9.132;9.151;9.243;9.191;9.152;9.068;9.054;9.262;9.290;9.237;9.061;8.550;8.194;7.995;8.027;8.088;8.265;8.332;8.323;8.320;8.296;8.212;8.228;8.301;8.349;8.406;8.497;8.497;8.580;8.656;8.682;8.711;9.109;9.014;9.069;9.131;9.188;9.252;9.315;9.317;9.464;9.552;9.553;9.551;9.608;9.522;9.534
;05;Cotopaxi;15.749;15.645;15.360;15.303;15.380;15.496;15.663;15.781;16.176;16.146;16.338;16.465;16.922;16.948;16.770;16.966;17.269;17.541;17.766;17.918;18.168;18.395;18.655;18.941;20.542;21.020;21.137;21.688;22.486;23.467;24.269;24.691;25.177;25.242;25.550;25.582;26.829;26.523;26.188;26.409;26.907;27.312;27.572;27.856;28.182;28.392;28.683;28.913;30.539;30.223;29.894;30.297;30.470;31.053;31.716;32.270;32.655;32.912;32.997;32.978;34.757;34.439;33.797;33.661;33.619;33.523;33.384;33.622;34.119;34.389;34.734;34.757;34.429;34.041;33.833;33.696;33.561;33.597;33.827;33.689;33.528;33.361;33.300;33.116;33.112;32.646;32.145;32.042;32.011;31.880;31.693;31.683;31.632;31.872;31.865;31.699;32.138;32.039;31.884;31.864;32.250;32.360;32.279;32.191;32.397;32.500;32.662;33.021;34.908;34.810;34.700;35.249;35.321;35.418;35.530;35.497;35.827;35.917;36.304;36.242;37.119;36.712;36.718;36.582;36.536;36.171;36.044;35.779;35.844;35.444;35.482;35.397;37.439;37.122;36.186;34.207;33.225;32.875;32.880;32.829;32.991;33.280;33.268;33.361;33.989;33.753;33.823;34.189;34.297;34.387;34.374;34.517;34.296;34.588;34.896;34.788;35.973;35.921;35.537;35.891;35.982;35.228;35.425;35.578;35.814;36.118;36.228;36.252;36.940;36.607;36.288
;06;Chimborazo;14.106;14.198;14.414;14.447;14.402;14.284;14.157;14.301;14.607;14.686;14.994;14.973;15.437;15.516;15.711;15.881;16.107;16.335;16.461;16.704;17.399;17.671;17.858;18.043;18.729;19.290;19.476;19.802;20.642;21.174;21.296;21.697;22.464;22.765;22.998;23.381;24.202;24.376;24.489;24.227;24.511;24.759;24.919;25.038;25.400;25.707;25.714;25.674;26.480;26.548;26.821;26.983;27.255;27.214;27.195;27.496;27.630;27.715;27.761;27.848;28.074;28.112;27.638;27.719;27.681;27.692;27.314;27.362;27.869;27.958;28.249;28.222;27.959;27.736;27.686;27.522;27.727;27.895;27.692;27.486;27.850;27.679;27.450;27.231;26.794;26.671;26.759;26.756;26.685;26.719;26.360;26.296;26.679;26.696;26.559;26.247;26.014;26.129;26.229;25.957;26.103;26.189;26.311;26.495;26.929;26.868;26.903;26.949;27.611;27.443;27.667;27.790;27.779;27.755;27.643;27.609;28.308;28.302;28.376;28.216;28.637;28.417;28.366;28.535;28.629;28.555;28.287;28.242;28.549;28.353;28.247;27.889;27.995;27.579;27.467;26.308;25.161;24.888;24.629;24.278;24.795;25.271;25.208;25.036;24.975;24.978;24.971;25.233;25.434;25.495;25.386;25.323;25.786;25.945;25.793;25.732;25.706;25.847;26.147;26.385;26.555;26.562;26.623;26.948;27.221;27.376;27.591;27.208;26.971;26.794;27.133
