;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CUADRO N° 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARACTERÍSTICAS SOCIO-DEMOGRÁFICAS, OCUPACIONALES Y DEL EMPLEADOR - SEXO - POR RAMA DE ACTIVIDAD ECONÓMICA CIIU 4 A NIVEL 1 (SECCIÓN), 2009 - 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Desagregaciones (CIIU Rev. 4);Descripción;genero;ene.-09;feb.-09;mar.-09;abr.-09;may.-09;jun.-09;jul.-09;ago.-09;sep.-09;oct.-09;nov.-09;dic.-09;ene.-10;feb.-10;mar.-10;abr.-10;may.-10;jun.-10;jul.-10;ago.-10;sep.-10;oct.-10;nov.-10;dic.-10;ene.-11;feb.-11;mar.-11;abr.-11;may.-11;jun.-11;jul.-11;ago.-11;sep.-11;oct.-11;nov.-11;dic.-11;ene.-12;feb.-12;mar.-12;abr.-12;may.-12;jun.-12;jul.-12;ago.-12;sep.-12;oct.-12;nov.-12;dic.-12;ene.-13;feb.-13;mar.-13;abr.-13;may.-13;jun.-13;jul.-13;ago.-13;sep.-13;oct.-13;nov.-13;dic.-13;ene.-14;feb.-14;mar.-14;abr.-14;may.-14;jun.-14;jul.-14;ago.-14;sep.-14;oct.-14;nov.-14;dic.-14;ene.-15;feb.-15;mar.-15;abr.-15;may.-15;jun.-15;jul.-15;ago.-15;sep.-15;oct.-15;nov.-15;dic.-15;ene.-16;feb.-16;mar.-16;abr.-16;may.-16;jun.-16;jul.-16;ago.-16;sep.-16;oct.-16;nov.-16;dic.-16;ene.-17;feb.-17;mar.-17;abr.-17;may.-17;jun.-17;jul.-17;ago.-17;sep.-17;oct.-17;nov.-17;dic.-17;ene.-18;feb.-18;mar.-18;abr.-18;may.-18;jun.-18;jul.-18;ago.-18;sep.-18;oct.-18;nov.-18;dic.-18;ene.-19;feb.-19;mar.-19;abr.-19;may.-19;jun.-19;jul.-19;ago.-19;sep.-19;oct.-19;nov.-19;dic.-19;ene.-20;feb.-20;mar.-20;abr.-20;may.-20;jun.-20;jul.-20;ago.-20;sep.-20;oct.-20;nov.-20;dic.-20;ene.-21;feb.-21;mar.-21;abr.-21;may.-21;jun.-21;jul.-21;ago.-21;sep.-21;oct.-21;nov.-21;dic.-21;ene.-22;feb.-22;mar.-22;abr.-22;may.-22;jun.-22;jul.-22;ago.-22;sep.-22;oct.-22;nov.-22;dic.-22;ene.-23;feb.-23;mar.-23
;A;Agricultura, ganadería,  silvicultura y pesca.;1_Hombre;94.956;94.199;96.016;96.704;97.192;98.403;100.597;102.164;104.266;105.380;105.986;105.285;107.780;107.408;108.563;110.388;110.791;112.286;113.779;113.973;115.011;116.171;117.474;117.389;120.373;120.925;123.176;125.391;129.414;134.063;136.720;138.580;139.475;140.306;140.651;140.860;145.670;144.400;144.349;145.449;145.638;144.337;145.619;145.844;145.711;146.794;147.334;145.992;149.195;146.762;146.867;147.750;148.357;149.340;151.269;151.572;152.117;153.277;153.810;152.734;156.353;154.525;154.001;155.221;155.453;155.521;157.001;158.759;159.855;162.840;163.466;162.021;164.361;160.454;159.843;160.183;160.538;160.111;161.036;160.497;160.448;161.040;160.552;159.081;166.927;163.851;161.800;162.691;162.785;163.315;163.276;163.997;165.382;166.183;166.361;165.566;167.108;165.254;165.948;166.586;166.435;166.499;167.188;167.814;168.730;170.425;170.437;168.856;170.425;169.453;168.731;171.129;171.374;171.348;172.107;172.619;173.004;174.305;173.810;172.703;173.850;171.892;170.564;171.815;170.877;170.423;171.606;171.714;172.227;172.289;172.077;171.173;173.508;171.275;168.374;162.430;160.453;160.799;161.239;161.478;163.595;164.631;164.722;164.391;167.611;167.277;166.749;168.800;168.949;169.827;170.787;171.965;173.222;174.338;175.546;175.195;176.800;174.987;174.098;174.115;173.118;171.872;172.279;172.577;173.447;175.260;175.389;173.265;174.891;172.569;171.854
;A;Agricultura, ganadería,  silvicultura y pesca.;2_Mujer;35.856;34.984;34.464;34.477;34.561;34.818;35.876;36.258;36.446;36.361;36.251;35.711;36.400;35.270;35.071;35.487;35.513;36.117;37.586;38.101;38.683;39.017;39.130;38.741;39.641;39.119;39.408;40.187;41.103;42.111;43.799;44.886;45.054;45.789;45.982;45.545;46.791;45.687;45.028;45.570;45.722;45.731;46.947;47.506;47.740;48.568;48.802;48.026;48.748;47.519;47.150;47.785;47.686;47.943;49.068;49.566;49.902;50.370;50.647;50.466;52.036;50.730;49.984;50.759;50.799;50.999;52.096;52.473;53.311;54.270;54.454;53.856;54.918;52.955;52.154;52.097;51.816;51.880;53.067;53.464;53.560;53.908;53.678;53.186;54.492;52.884;51.777;52.102;51.570;51.144;51.897;53.051;53.842;54.376;54.297;53.711;54.570;53.345;52.696;52.922;53.178;53.273;54.147;54.629;55.231;55.676;55.536;55.146;55.340;54.470;53.872;54.731;54.751;54.585;55.844;56.251;56.794;57.518;57.430;57.199;58.017;56.262;55.056;55.940;55.504;55.098;56.202;56.810;57.348;57.245;57.269;56.884;58.027;56.234;54.493;49.851;48.662;48.660;49.496;50.734;52.866;53.429;53.724;53.620;55.276;54.314;53.429;54.852;54.884;54.819;55.852;56.703;57.640;58.286;58.619;58.296;59.633;58.176;57.321;58.100;57.723;57.150;57.848;58.497;59.223;59.956;60.112;59.939;60.625;59.116;58.299
;B;Explotación de minas y canteras.;1_Hombre;14.285;14.259;14.270;15.089;15.058;14.989;14.959;15.045;15.643;15.573;15.991;16.125;16.682;17.484;18.374;17.968;18.220;18.566;18.221;17.732;17.190;17.483;17.876;17.968;18.262;18.412;19.169;19.316;19.811;20.515;21.079;21.541;22.146;22.664;22.943;22.765;23.316;23.579;24.209;24.023;24.316;25.315;26.229;26.905;26.956;27.159;28.068;28.605;33.491;33.955;34.763;35.953;36.141;35.568;34.930;34.997;35.322;35.880;36.105;35.671;36.275;35.791;35.744;36.507;36.821;36.680;37.079;37.617;38.157;38.377;38.071;37.201;36.849;36.192;35.558;34.562;33.583;33.378;33.872;33.476;33.040;32.876;31.543;30.715;30.733;31.286;31.529;31.386;31.089;31.355;31.542;32.327;32.366;32.581;32.046;31.305;30.164;29.450;29.166;29.077;28.993;29.095;29.158;29.204;29.465;29.647;29.939;29.621;30.030;30.371;30.697;30.969;31.181;31.395;31.954;32.100;32.191;32.392;32.534;32.130;32.072;31.859;32.302;32.622;33.180;33.175;33.014;33.210;33.342;33.140;32.662;31.904;31.807;31.675;31.422;29.413;27.469;26.789;26.899;27.089;27.842;28.628;29.528;29.410;23.896;24.216;24.514;24.563;24.873;25.195;25.615;25.890;26.360;26.554;27.225;27.307;27.213;27.343;27.725;27.831;27.956;27.694;27.960;28.310;28.322;28.558;28.625;27.976;27.584;27.306;27.394
;B;Explotación de minas y canteras.;2_Mujer;1.939;1.928;1.946;2.003;1.991;2.043;2.065;2.119;2.138;2.152;2.150;2.133;2.176;2.220;2.285;2.021;2.054;2.091;2.118;2.146;2.177;2.198;2.228;2.244;2.273;2.345;2.395;2.426;2.495;2.543;2.568;2.605;2.661;2.703;2.725;2.743;2.782;2.865;2.939;2.963;2.987;3.044;3.151;3.214;3.219;3.233;3.283;3.323;3.748;3.800;3.860;3.944;3.954;4.008;4.020;4.064;4.059;4.121;4.194;4.185;4.193;4.199;4.245;4.302;4.290;4.296;4.346;4.381;4.370;4.363;4.385;4.370;4.380;4.305;4.250;4.238;4.193;4.145;4.146;4.122;4.090;4.088;3.957;3.903;3.911;3.867;3.878;3.785;3.757;3.790;3.765;3.759;3.792;3.767;3.809;3.858;3.899;3.895;3.944;3.934;3.911;3.912;3.904;3.914;3.941;3.965;3.971;3.962;3.977;3.996;4.065;4.113;4.174;4.237;4.302;4.327;4.339;4.359;4.349;4.338;4.361;4.397;4.513;4.533;4.582;4.581;4.646;4.710;4.718;4.700;4.655;4.611;4.506;4.538;4.564;4.403;4.194;4.054;4.041;4.039;4.057;4.139;4.211;4.196;3.213;3.256;3.283;3.303;3.301;3.376;3.432;3.464;3.525;3.567;3.626;3.615;3.591;3.602;3.651;3.684;3.703;3.710;3.756;3.837;3.849;3.894;3.941;3.897;3.851;3.842;3.929
;C;Industrias manufactureras.;1_Hombre;185.333;184.355;184.559;185.893;185.180;187.749;190.731;192.197;195.430;196.942;198.813;197.993;199.441;199.747;202.207;204.437;205.700;209.455;211.912;214.613;217.203;219.956;221.183;222.125;222.195;223.245;226.160;228.221;233.231;238.888;243.952;246.881;248.523;251.318;253.056;252.951;254.339;254.221;256.601;257.469;259.637;261.437;263.929;264.325;265.554;267.484;267.735;266.616;264.436;263.394;263.998;264.388;264.943;266.690;268.147;269.238;269.698;271.008;271.503;269.388;270.436;270.113;269.776;270.745;270.622;271.817;273.844;276.410;280.530;282.170;282.633;280.922;282.756;279.512;280.766;279.762;279.041;279.057;280.844;280.486;280.371;278.647;276.221;273.022;270.597;265.099;263.511;261.816;259.968;260.920;260.373;260.862;261.155;261.286;261.237;260.325;260.554;258.151;259.463;258.137;257.972;258.076;260.553;261.540;262.686;263.132;262.960;262.967;263.804;261.700;263.229;263.205;262.506;263.321;264.841;266.286;266.418;266.826;265.922;264.086;263.747;261.625;260.572;260.684;259.431;259.433;261.715;262.261;261.795;260.068;259.671;257.530;258.733;256.328;254.909;246.881;240.976;238.173;237.034;235.811;237.326;239.155;239.332;237.867;243.748;244.250;245.973;245.300;245.859;246.894;247.510;248.784;250.798;251.898;251.645;250.744;250.499;250.114;252.124;252.056;254.184;255.573;256.642;258.344;258.500;258.097;256.613;254.784;253.695;251.457;252.598
;C;Industrias manufactureras.;2_Mujer;78.751;78.956;78.956;79.233;79.174;79.422;80.389;81.292;82.297;83.012;83.910;83.934;84.508;84.753;86.152;87.238;87.853;88.749;89.420;90.706;91.821;92.868;93.756;94.275;95.250;96.045;97.738;98.858;100.990;102.970;104.802;106.763;107.676;108.945;109.742;109.421;110.822;110.782;112.063;112.649;113.499;113.822;114.839;115.240;114.875;115.843;116.137;115.968;116.918;116.418;116.702;117.599;117.850;117.739;117.941;118.164;118.603;119.445;120.015;119.180;120.516;120.367;120.816;121.324;121.833;121.675;122.169;123.012;123.699;124.220;124.590;123.310;124.148;123.165;123.817;124.397;124.045;124.220;123.809;123.161;123.364;122.750;121.670;120.357;121.321;119.322;117.939;116.693;116.372;115.119;114.680;114.720;114.795;114.573;114.169;113.465;113.876;113.538;113.849;114.020;114.428;114.536;114.066;114.165;114.410;114.975;114.557;114.100;115.901;115.823;116.313;116.176;115.948;115.929;116.254;117.040;116.968;117.021;116.722;116.004;116.516;115.999;115.663;116.174;115.623;115.177;115.830;116.046;115.632;114.841;114.523;113.127;114.028;113.823;113.295;110.203;106.129;102.877;100.667;99.416;99.381;100.001;100.362;99.335;101.472;102.106;102.949;103.002;103.070;103.244;103.414;103.800;104.841;105.842;105.957;105.261;105.959;106.212;107.046;107.533;108.249;108.756;108.855;109.462;109.374;109.213;108.716;107.628;108.137;107.638;108.333
