;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CUADRO N° 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARACTERÍSTICAS SOCIO-DEMOGRÁFICAS, OCUPACIONALES Y DEL EMPLEADOR - GRUPO DE EDAD - POR CONDICIÓN DE TRABAJO, 2009 - 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Desagregaciones;edadc;ene.-09;feb.-09;mar.-09;abr.-09;may.-09;jun.-09;jul.-09;ago.-09;sep.-09;oct.-09;nov.-09;dic.-09;ene.-10;feb.-10;mar.-10;abr.-10;may.-10;jun.-10;jul.-10;ago.-10;sep.-10;oct.-10;nov.-10;dic.-10;ene.-11;feb.-11;mar.-11;abr.-11;may.-11;jun.-11;jul.-11;ago.-11;sep.-11;oct.-11;nov.-11;dic.-11;ene.-12;feb.-12;mar.-12;abr.-12;may.-12;jun.-12;jul.-12;ago.-12;sep.-12;oct.-12;nov.-12;dic.-12;ene.-13;feb.-13;mar.-13;abr.-13;may.-13;jun.-13;jul.-13;ago.-13;sep.-13;oct.-13;nov.-13;dic.-13;ene.-14;feb.-14;mar.-14;abr.-14;may.-14;jun.-14;jul.-14;ago.-14;sep.-14;oct.-14;nov.-14;dic.-14;ene.-15;feb.-15;mar.-15;abr.-15;may.-15;jun.-15;jul.-15;ago.-15;sep.-15;oct.-15;nov.-15;dic.-15;ene.-16;feb.-16;mar.-16;abr.-16;may.-16;jun.-16;jul.-16;ago.-16;sep.-16;oct.-16;nov.-16;dic.-16;ene.-17;feb.-17;mar.-17;abr.-17;may.-17;jun.-17;jul.-17;ago.-17;sep.-17;oct.-17;nov.-17;dic.-17;ene.-18;feb.-18;mar.-18;abr.-18;may.-18;jun.-18;jul.-18;ago.-18;sep.-18;oct.-18;nov.-18;dic.-18;ene.-19;feb.-19;mar.-19;abr.-19;may.-19;jun.-19;jul.-19;ago.-19;sep.-19;oct.-19;nov.-19;dic.-19;ene.-20;feb.-20;mar.-20;abr.-20;may.-20;jun.-20;jul.-20;ago.-20;sep.-20;oct.-20;nov.-20;dic.-20;ene.-21;feb.-21;mar.-21;abr.-21;may.-21;jun.-21;jul.-21;ago.-21;sep.-21;oct.-21;nov.-21;dic.-21;ene.-22;feb.-22;mar.-22;abr.-22;may.-22;jun.-22;jul.-22;ago.-22;sep.-22;oct.-22;nov.-22;dic.-22;ene.-23;feb.-23;mar.-23
;1_Cuenta Propia;0_Menor a 15 años;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1_Cuenta Propia;1_Entre 15 y 24 años;219;206;216;215;222;239;245;241;237;253;266;279;308;319;332;350;385;433;477;519;585;655;713;743;865;902;976;1.066;1.126;1.220;1.305;1.397;1.501;1.629;1.779;1.855;1.884;1.890;1.927;1.956;2.051;2.113;2.217;2.285;2.348;2.428;2.625;2.563;2.559;2.576;2.598;2.656;2.722;2.815;2.869;2.861;2.879;2.938;2.983;2.964;2.961;2.983;2.912;2.809;2.767;2.751;2.630;2.555;2.533;2.449;2.405;2.315;2.268;2.222;2.205;2.202;2.179;2.135;2.034;2.033;2.049;1.997;2.018;1.966;1.884;1.845;1.778;1.721;1.679;1.646;1.586;1.539;1.556;1.523;1.474;1.465;1.417;1.400;1.467;1.428;1.357;1.345;1.439;1.494;1.540;1.546;1.564;1.605;2.195;2.089;1.794;1.789;1.806;1.819;1.808;1.862;2.023;2.041;2.275;2.364;2.348;2.338;2.611;2.329;2.252;2.316;2.303;2.281;2.318;2.386;2.449;2.430;2.278;2.300;2.286;2.180;2.075;2.029;2.010;2.088;2.155;2.189;2.251;2.243;2.317;2.318;2.381;2.417;2.432;2.467;2.510;2.534;2.523;2.552;2.582;2.574;2.662;2.715;2.762;2.767;2.815;2.855;2.895;2.891;2.941;2.982;2.951;2.950;2.871;2.735;2.689
;1_Cuenta Propia;2_Entre 25 y 34 años;2.386;2.453;2.494;2.553;2.645;2.756;2.894;3.002;3.076;3.164;3.258;3.416;3.664;3.766;3.982;4.258;4.467;4.856;5.313;5.621;6.031;6.412;6.832;7.215;8.150;8.570;9.084;9.659;10.095;10.852;11.438;12.097;12.702;13.373;14.009;14.588;15.367;15.714;16.140;16.524;17.046;17.594;18.120;18.618;19.157;19.785;20.444;20.641;21.190;21.432;21.706;22.126;22.485;22.997;23.424;23.707;23.960;24.091;24.281;24.307;24.805;24.723;24.510;24.071;23.785;23.632;23.139;22.817;22.594;22.214;21.989;21.555;21.589;21.343;21.174;20.934;20.823;20.696;20.401;20.081;20.025;19.822;19.688;19.396;19.290;19.171;18.924;18.670;18.407;18.194;17.906;17.703;17.637;17.410;17.235;17.129;16.876;16.745;16.704;16.534;16.285;16.231;17.022;17.292;17.700;17.824;17.950;18.033;19.277;19.058;18.651;18.636;18.718;18.767;18.828;19.109;19.605;19.685;20.374;20.574;20.883;20.765;21.345;21.222;21.229;21.513;21.565;21.823;22.045;22.290;22.420;22.440;22.624;22.769;22.702;22.424;22.174;21.960;21.832;22.367;22.869;23.037;23.323;23.257;23.717;23.809;24.178;24.577;24.892;25.118;25.497;25.694;25.985;26.153;26.142;26.082;26.733;26.914;27.199;27.347;27.592;27.833;28.004;28.222;28.600;28.721;28.662;28.458;28.699;28.331;28.267
;1_Cuenta Propia;3_Entre 35 y 44 años;4.302;4.443;4.609;4.728;4.819;4.932;5.083;5.291;5.374;5.512;5.700;5.906;6.362;6.529;6.796;7.140;7.471;8.102;8.641;9.053;9.641;10.203;10.786;11.406;12.741;13.473;14.191;14.969;15.756;16.855;17.681;18.443;19.212;20.121;20.824;21.735;22.945;23.546;24.276;24.913;25.686;26.455;27.308;28.172;28.978;29.890;30.753;31.266;32.141;32.778;33.452;34.081;34.754;35.576;36.388;37.149;37.483;38.045;38.461;38.777;39.543;39.622;39.670;39.559;39.421;39.344;39.162;39.092;39.050;38.910;38.898;38.694;38.889;38.742;38.649;38.589;38.552;38.434;38.398;38.262;38.270;38.136;38.056;38.004;37.878;37.691;37.554;37.185;36.994;36.901;36.696;36.505;36.414;36.097;35.902;35.703;35.634;35.522;35.480;35.291;35.222;35.132;35.737;36.041;36.293;36.248;36.387;36.555;37.316;37.314;37.185;37.162;37.148;37.186;37.187;37.309;37.509;37.520;37.832;37.989;38.474;38.520;38.785;38.690;38.719;38.618;38.562;38.720;38.930;38.963;39.077;39.156;39.362;39.503;39.597;39.798;40.053;40.017;39.927;40.172;40.457;40.581;40.715;40.606;40.951;41.135;41.304;41.696;41.958;42.098;42.438;42.640;42.825;42.862;42.843;42.790;43.321;43.350;43.646;43.892;44.005;44.019;44.200;44.511;44.548;44.613;44.614;44.429;44.664;44.582;44.880
;1_Cuenta Propia;4_Entre 45 y 64 años;8.989;9.238;9.643;9.877;10.160;10.495;10.872;11.203;11.568;12.024;12.420;12.928;13.775;14.224;14.939;15.585;16.254;17.551;18.575;19.485;20.475;21.588;22.685;23.647;25.818;26.909;28.180;29.666;31.095;32.981;34.481;35.954;37.370;38.808;40.367;41.855;43.814;45.276;46.668;47.963;49.499;50.949;52.521;53.911;55.280;56.850;58.249;59.322;60.954;62.113;63.312;64.623;65.768;67.149;68.730;70.040;71.139;72.230;73.195;73.908;75.366;75.819;76.071;76.167;76.208;76.402;76.483;76.500;76.707;76.647;76.698;76.715;77.160;77.213;77.380;77.455;77.627;77.765;77.838;77.763;77.844;77.824;77.970;77.998;77.968;77.929;77.813;77.643;77.497;77.404;77.486;77.452;77.480;77.444;77.434;77.392;77.431;77.441;77.486;77.550;77.569;77.563;79.077;80.040;80.670;80.980;81.364;81.618;82.593;82.867;83.053;83.343;83.622;83.976;84.405;84.903;85.521;85.807;86.361;86.792;87.726;88.083;88.684;88.851;89.191;89.472;89.631;89.887;90.163;90.470;90.945;91.260;91.943;92.303;92.534;93.082;93.701;94.141;94.382;95.072;95.459;95.870;96.225;96.523;97.220;97.482;98.104;98.644;99.096;99.477;99.849;100.208;100.565;100.798;100.975;101.103;101.958;102.344;102.732;103.114;103.430;103.748;104.092;104.571;104.970;105.275;105.521;105.886;106.600;106.935;107.590
;1_Cuenta Propia;5_65 años y más;633;649;664;688;705;726;773;783;802;825;858;901;934;964;1.014;1.041;1.096;1.173;1.247;1.287;1.358;1.442;1.525;1.563;1.730;1.840;1.927;1.991;2.073;2.190;2.350;2.473;2.628;2.739;2.874;2.985;3.154;3.283;3.401;3.529;3.677;3.823;3.980;4.147;4.234;4.439;4.583;4.749;4.906;5.024;5.197;5.375;5.532;5.672;5.816;6.012;6.175;6.310;6.395;6.479;6.622;6.640;6.665;6.703;6.746;6.784;6.814;6.808;6.870;6.899;6.939;7.006;7.039;7.085;7.120;7.149;7.205;7.250;7.341;7.358;7.405;7.479;7.527;7.601;7.619;7.661;7.735;7.733;7.822;7.882;7.931;8.042;8.078;8.140;8.236;8.325;8.368;8.439;8.494;8.574;8.632;8.720;8.982;9.134;9.317;9.433;9.571;9.769;9.951;10.057;10.226;10.302;10.432;10.537;10.687;10.809;10.928;11.073;11.215;11.349;11.475;11.550;11.629;11.691;11.775;11.892;11.926;12.124;12.262;12.414;12.568;12.667;12.865;12.970;13.187;13.403;13.558;13.640;13.792;13.998;14.085;14.242;14.366;14.513;14.525;14.589;14.632;14.702;14.762;14.868;15.002;15.081;15.111;15.189;15.251;15.340;15.332;15.341;15.404;15.446;15.521;15.596;15.680;15.740;15.797;15.851;15.903;15.987;16.006;15.991;16.033
;2_Patronos;0_Menor a 15 años;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
