;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CUADRO N° 60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARACTERÍSTICAS OCUPACIONALES Y DEL EMPLEADOR - POR SECTOR DE AFILIACIÓN, 2009 - 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Desagregaciones;ene.-09;feb.-09;mar.-09;abr.-09;may.-09;jun.-09;jul.-09;ago.-09;sep.-09;oct.-09;nov.-09;dic.-09;ene.-10;feb.-10;mar.-10;abr.-10;may.-10;jun.-10;jul.-10;ago.-10;sep.-10;oct.-10;nov.-10;dic.-10;ene.-11;feb.-11;mar.-11;abr.-11;may.-11;jun.-11;jul.-11;ago.-11;sep.-11;oct.-11;nov.-11;dic.-11;ene.-12;feb.-12;mar.-12;abr.-12;may.-12;jun.-12;jul.-12;ago.-12;sep.-12;oct.-12;nov.-12;dic.-12;ene.-13;feb.-13;mar.-13;abr.-13;may.-13;jun.-13;jul.-13;ago.-13;sep.-13;oct.-13;nov.-13;dic.-13;ene.-14;feb.-14;mar.-14;abr.-14;may.-14;jun.-14;jul.-14;ago.-14;sep.-14;oct.-14;nov.-14;dic.-14;ene.-15;feb.-15;mar.-15;abr.-15;may.-15;jun.-15;jul.-15;ago.-15;sep.-15;oct.-15;nov.-15;dic.-15;ene.-16;feb.-16;mar.-16;abr.-16;may.-16;jun.-16;jul.-16;ago.-16;sep.-16;oct.-16;nov.-16;dic.-16;ene.-17;feb.-17;mar.-17;abr.-17;may.-17;jun.-17;jul.-17;ago.-17;sep.-17;oct.-17;nov.-17;dic.-17;ene.-18;feb.-18;mar.-18;abr.-18;may.-18;jun.-18;jul.-18;ago.-18;sep.-18;oct.-18;nov.-18;dic.-18;ene.-19;feb.-19;mar.-19;abr.-19;may.-19;jun.-19;jul.-19;ago.-19;sep.-19;oct.-19;nov.-19;dic.-19;ene.-20;feb.-20;mar.-20;abr.-20;may.-20;jun.-20;jul.-20;ago.-20;sep.-20;oct.-20;nov.-20;dic.-20;ene.-21;feb.-21;mar.-21;abr.-21;may.-21;jun.-21;jul.-21;ago.-21;sep.-21;oct.-21;nov.-21;dic.-21;ene.-22;feb.-22;mar.-22;abr.-22;may.-22;jun.-22;jul.-22;ago.-22;sep.-22;oct.-22;nov.-22;dic.-22;ene.-23;feb.-23;mar.-23
;1_Privado;554.175.594;551.383.304;559.695.834;572.015.866;569.652.256;572.830.805;583.461.408;586.598.230;591.755.779;606.095.541;613.553.980;635.728.903;636.834.818;627.170.554;644.902.646;661.513.035;660.532.077;669.311.990;680.937.934;687.812.484;699.027.883;712.707.390;725.947.821;759.935.294;765.643.875;772.685.757;793.002.489;815.512.895;834.155.263;854.429.041;873.529.573;887.465.236;896.712.207;918.451.603;932.521.265;981.614.378;967.092.306;974.092.586;995.632.382;1.020.276.639;1.027.154.150;1.030.903.476;1.049.661.959;1.060.233.749;1.068.301.709;1.095.485.621;1.111.065.345;1.164.720.863;1.161.763.867;1.160.539.954;1.181.517.219;1.207.963.044;1.212.758.526;1.209.653.798;1.226.678.153;1.234.137.043;1.238.797.371;1.264.312.397;1.274.532.907;1.330.777.419;1.317.719.104;1.317.081.942;1.319.924.545;1.348.072.692;1.345.260.164;1.340.348.720;1.359.200.668;1.369.817.275;1.381.309.268;1.408.635.294;1.419.458.237;1.465.916.058;1.423.300.022;1.414.439.040;1.429.103.927;1.448.770.226;1.435.686.497;1.423.179.532;1.427.383.678;1.426.244.014;1.419.704.454;1.424.639.030;1.416.631.995;1.442.595.777;1.378.093.655;1.365.210.812;1.366.507.935;1.365.216.787;1.345.802.798;1.339.433.442;1.340.841.835;1.343.049.214;1.340.181.745;1.354.799.275;1.366.980.868;1.411.050.279;1.353.812.728;1.358.290.296;1.377.983.735;1.378.608.625;1.365.553.063;1.364.720.627;1.374.413.157;1.378.415.207;1.376.929.452;1.394.687.350;1.408.897.710;1.464.628.705;1.411.690.477;1.418.030.481;1.429.922.432;1.451.759.248;1.439.358.707;1.440.056.288;1.446.260.627;1.453.858.010;1.454.097.794;1.473.193.683;1.486.343.927;1.536.619.751;1.480.721.598;1.470.873.665;1.491.550.714;1.499.485.808;1.495.782.951;1.480.293.017;1.486.266.242;1.494.065.329;1.488.494.248;1.494.166.457;1.505.693.234;1.552.149.722;1.500.756.913;1.499.022.506;1.461.018.753;1.339.100.481;1.278.852.661;1.282.072.574;1.284.263.986;1.284.141.166;1.294.791.517;1.317.280.839;1.344.233.863;1.385.228.970;1.333.101.050;1.344.707.909;1.370.478.973;1.373.083.625;1.362.771.036;1.374.247.837;1.386.567.145;1.396.498.402;1.403.966.587;1.428.139.553;1.448.143.723;1.500.227.059;1.460.195.474;1.477.641.229;1.516.130.919;1.519.825.567;1.507.673.146;1.500.481.256;1.507.357.700;1.532.450.792;1.537.636.349;1.554.352.999;1.572.431.708;1.614.846.862;1.590.217.726;1.591.876.933;1.624.069.233
;2_Público;242.103.348;246.504.408;249.371.846;256.054.316;259.625.638;262.532.970;265.604.763;263.449.235;270.905.751;271.763.967;273.781.761;275.197.614;306.968.499;323.000.996;330.496.226;334.633.197;335.197.201;340.547.005;344.381.898;347.019.130;350.918.268;353.641.001;358.017.927;363.739.471;362.269.996;370.363.973;373.697.248;446.861.097;449.540.723;454.030.528;453.616.877;475.447.562;461.779.736;469.668.768;471.015.552;474.299.157;477.988.150;485.963.895;494.829.282;501.457.037;503.785.513;508.197.458;516.015.552;524.399.186;531.518.002;537.048.109;543.971.464;548.643.422;543.150.499;556.226.261;555.466.099;564.459.677;568.060.783;571.489.300;574.428.279;576.663.276;580.223.376;582.487.092;585.375.448;587.465.034;573.127.445;585.705.627;591.086.657;598.120.739;605.755.205;611.917.362;615.783.879;620.176.381;624.313.128;632.212.222;643.080.593;644.253.904;638.937.582;646.469.564;645.893.752;648.049.691;655.957.450;661.833.660;663.529.507;667.086.213;669.760.778;672.035.930;675.536.657;673.546.825;658.404.051;661.487.026;660.544.050;661.850.760;664.130.267;663.022.195;664.677.652;664.927.966;662.017.386;667.330.949;672.295.070;674.072.147;668.449.148;678.810.449;683.341.133;683.073.275;686.069.861;687.953.569;685.508.351;694.370.512;690.964.575;695.857.049;705.531.184;706.300.517;703.631.890;708.401.233;709.338.435;710.782.718;714.185.524;717.621.271;718.893.201;716.824.652;715.530.351;721.875.667;727.327.545;728.839.167;718.233.761;720.036.216;712.014.110;713.503.899;707.086.143;706.863.186;707.397.092;702.252.341;705.727.826;708.785.766;712.372.384;714.715.833;698.122.062;700.698.252;698.467.704;695.880.709;690.235.282;688.262.077;684.615.927;683.419.546;680.163.889;676.330.931;679.867.389;679.277.059;669.231.631;675.573.110;676.793.509;674.461.398;675.472.368;677.231.942;680.652.479;691.005.109;689.084.361;683.420.469;682.846.223;690.119.650;676.020.152;680.209.122;678.693.997;683.869.283;685.864.902;693.504.141;694.192.825;699.434.767;696.195.244;703.636.910;728.054.533;733.995.194;725.877.495;730.716.447;730.505.249
;3_Empleo doméstico;8.762.018;8.795.387;8.839.079;8.913.385;8.980.567;9.083.979;9.254.956;9.512.149;9.967.797;10.240.758;10.354.801;10.411.547;12.401.661;12.470.897;12.644.025;12.830.957;13.242.603;14.340.786;14.870.390;15.105.280;15.259.182;15.413.538;15.528.955;15.579.721;17.261.257;17.495.497;17.664.253;17.939.766;18.456.694;18.983.690;19.331.572;19.640.634;20.037.435;20.432.246;20.761.107;20.870.659;23.091.768;23.269.816;23.482.487;23.654.355;23.852.666;24.022.612;24.180.538;24.352.496;24.542.222;24.830.748;25.049.784;25.091.281;27.352.311;27.377.012;27.519.493;27.683.292;27.830.422;27.989.411;28.157.567;28.295.741;28.491.358;28.750.704;28.962.706;28.961.523;31.004.343;31.052.753;31.082.957;31.155.104;31.203.914;31.241.001;31.251.016;31.523.686;31.738.087;31.905.048;32.010.090;32.035.794;33.327.239;33.369.588;33.425.256;33.431.415;33.445.121;33.450.531;33.385.311;33.331.906;33.305.246;33.307.442;33.280.590;33.132.789;33.931.919;33.768.176;33.660.750;33.905.132;33.349.212;33.182.493;33.031.885;32.916.779;32.793.182;32.732.425;32.680.697;32.562.239;33.215.587;33.140.848;33.079.646;32.979.371;32.934.436;32.862.069;32.807.935;32.774.441;32.703.907;32.655.747;32.606.221;32.561.422;33.342.492;33.311.923;33.302.991;33.238.611;33.149.920;33.095.099;33.060.500;33.009.217;32.958.377;32.995.111;33.002.341;32.914.209;33.497.908;33.362.729;33.339.038;33.248.142;33.116.075;32.987.207;32.891.415;32.774.359;32.717.995;32.592.948;32.582.534;32.475.604;32.768.718;32.651.762;32.421.323;31.375.057;29.647.075;28.215.900;27.409.222;26.876.798;26.526.152;26.358.446;26.272.526;26.152.626;25.729.179;25.614.283;25.625.784;25.558.052;25.521.068;25.508.134;25.476.831;25.476.073;25.485.916;25.473.331;25.480.274;25.409.007;26.686.875;26.726.912;26.742.002;26.717.680;26.706.121;26.633.337;26.553.252;26.530.305;26.519.047;26.492.536;26.460.694;26.369.624;27.682.117;27.611.259;27.613.516
;4_Seguro Social Campesino;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5_Semi contribuyente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6_Voluntarios;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total masa salarial;805.040.960;806.683.099;817.906.760;836.983.566;838.258.461;844.447.755;858.321.127;859.559.614;872.629.328;888.100.266;897.690.541;921.338.064;956.204.977;962.642.447;988.042.896;1.008.977.189;1.008.971.881;1.024.199.782;1.040.190.222;1.049.936.894;1.065.205.333;1.081.761.928;1.099.494.703;1.139.254.486;1.145.175.129;1.160.545.227;1.184.363.991;1.280.313.758;1.302.152.680;1.327.443.258;1.346.478.023;1.382.553.433;1.378.529.379;1.408.552.616;1.424.297.924;1.476.784.193;1.468.172.224;1.483.326.296;1.513.944.151;1.545.388.032;1.554.792.329;1.563.123.545;1.589.858.048;1.608.985.431;1.624.361.933;1.657.364.478;1.680.086.593;1.738.455.565;1.732.266.678;1.744.143.227;1.764.502.811;1.800.106.013;1.808.649.731;1.809.132.509;1.829.263.999;1.839.096.060;1.847.512.105;1.875.550.192;1.888.871.061;1.947.203.976;1.921.850.892;1.933.840.323;1.942.094.158;1.977.348.535;1.982.219.284;1.983.507.082;2.006.235.563;2.021.517.342;2.037.360.483;2.072.752.564;2.094.548.920;2.142.205.756;2.095.564.842;2.094.278.193;2.108.422.935;2.130.251.333;2.125.089.067;2.118.463.722;2.124.298.496;2.126.662.132;2.122.770.477;2.129.982.402;2.125.449.242;2.149.275.392;2.070.429.624;2.060.466.014;2.060.712.735;2.060.972.679;2.043.282.277;2.035.638.130;2.038.551.372;2.040.893.959;2.034.992.313;2.054.862.650;2.071.956.636;2.117.684.664;2.055.477.463;2.070.241.593;2.094.404.514;2.094.661.270;2.084.557.360;2.085.536.264;2.092.729.443;2.105.560.159;2.100.597.934;2.123.200.145;2.147.035.116;2.203.490.643;2.148.664.858;2.159.743.637;2.172.563.859;2.195.780.578;2.186.694.151;2.190.772.659;2.198.214.329;2.203.691.879;2.202.586.522;2.228.064.461;2.246.673.813;2.298.373.126;2.232.453.267;2.224.272.611;2.236.903.861;2.246.237.850;2.235.985.169;2.220.143.410;2.226.554.749;2.229.092.030;2.226.940.070;2.235.545.171;2.250.648.153;2.299.341.158;2.231.647.693;2.232.372.520;2.191.907.780;2.066.356.247;1.998.735.018;1.998.550.551;1.996.289.135;1.994.437.510;2.001.481.558;2.019.970.216;2.050.373.778;2.090.658.655;2.028.061.860;2.045.895.303;2.072.898.266;2.073.103.076;2.063.764.472;2.076.987.912;2.092.696.455;2.112.979.583;2.118.536.864;2.137.033.353;2.156.470.220;2.215.755.715;2.162.902.502;2.184.577.263;2.221.566.918;2.230.412.530;2.220.244.169;2.220.618.734;2.228.103.777;2.258.415.864;2.260.350.640;2.284.482.444;2.326.946.935;2.375.211.680;2.343.777.338;2.350.204.639;2.382.187.999
