ciiu4_1,descripcion,empleos,porcentaje
G,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,539033,0.18897664020103921
O,Administración pública y defensa; planes de seguridad social de afiliación obligatoria.,464041,0.16268560384156525
C,Industrias manufactureras.,362145,0.12696244082571076
A,"Agricultura, ganadería,  silvicultura y pesca.",232023,0.08134367838215048
N,Actividades de servicios administrativos y de apoyo.,169358,0.059374297735329
Q,Actividades de atención de la salud humana y de asistencia social.,162977,0.05713721773999879
M,"Actividades profesionales, científicas y técnicas.",149964,0.05257506102800504
H,Transporte y almacenamiento.,143536,0.05032150355895903
P,Enseñanza.,133623,0.0468461589431138
I,Actividades de alojamiento y de servicio de comidas.,106981,0.03750588543808519
F,Construcción.,92097,0.03228778503838375
K,Actividades financieras y de seguros.,77565,0.027193090399277236
S,Otras actividades de servicios.,66589,0.02334507440981721
J,Información y comunicación.,57702,0.02022942953934242
B,Explotación de minas y canteras.,30760,0.010783980670170409
E,"Distribución de agua; alcantarillado, gestión de desechos y actividades de saneamiento.",24011,0.008417885561490953
D,"Suministro de electricidad, gas, vapor y aire acondicionado.",21173,0.007422926616694346
R,"Artes, entretenimiento y recreación.",18280,0.006408685521804782
U,Actividades de organizaciones y órganos extraterritoriales.,521,0.00018265454906237917
