ano,mes,empleos
2009,1,1693663
2009,2,1688014
2009,3,1696013
2009,4,1718953
2009,5,1729461
2009,6,1743680
2009,7,1755632
2009,8,1762396
2009,9,1802037
2009,10,1816319
2009,11,1830798
2009,12,1830066
2010,1,1833438
2010,2,1839806
2010,3,1866624
2010,4,1889796
2010,5,1913318
2010,6,1945154
2010,7,1964972
2010,8,1987106
2010,9,2019650
2010,10,2048895
2010,11,2070201
2010,12,2078220
2011,1,2087268
2011,2,2110014
2011,3,2139608
2011,4,2180112
2011,5,2235385
2011,6,2281174
2011,7,2316709
2011,8,2348423
2011,9,2380917
2011,10,2410179
2011,11,2435192
2011,12,2442886
2012,1,2459056
2012,2,2465337
2012,3,2496447
2012,4,2522683
2012,5,2547685
2012,6,2569362
2012,7,2594736
2012,8,2612952
2012,9,2634239
2012,10,2667725
2012,11,2693109
2012,12,2687857
2013,1,2712711
2013,2,2722802
2013,3,2738509
2013,4,2762112
2013,5,2781010
2013,6,2795118
2013,7,2813960
2013,8,2825540
2013,9,2844156
2013,10,2864911
2013,11,2880873
2013,12,2868145
2014,1,2872085
2014,2,2876620
2014,3,2880438
2014,4,2891678
2014,5,2903612
2014,6,2914154
2014,7,2924291
2014,8,2944996
2014,9,2973981
2014,10,2997861
2014,11,3008707
2014,12,2990163
2015,1,2985474
2015,2,2972262
2015,3,2981201
2015,4,2976789
2015,5,2984206
2015,6,2988373
2015,7,2988165
2015,8,2978964
2015,9,2982444
2015,10,2973512
2015,11,2953734
2015,12,2918924
2016,1,2874812
2016,2,2848759
2016,3,2837201
2016,4,2822168
2016,5,2817599
2016,6,2807798
2016,7,2803725
2016,8,2803808
2016,9,2807366
2016,10,2817905
2016,11,2817798
2016,12,2806025
2017,1,2800480
2017,2,2792233
2017,3,2805091
2017,4,2800843
2017,5,2810287
2017,6,2809664
2017,7,2812077
2017,8,2824861
2017,9,2833112
2017,10,2848406
2017,11,2857663
2017,12,2853133
2018,1,2861040
2018,2,2852761
2018,3,2861515
2018,4,2875257
2018,5,2886728
2018,6,2895091
2018,7,2904019
2018,8,2912064
2018,9,2917991
2018,10,2935942
2018,11,2941693
2018,12,2929479
2019,1,2921580
2019,2,2910792
2019,3,2906786
2019,4,2914199
2019,5,2921403
2019,6,2908038
2019,7,2916669
2019,8,2910711
2019,9,2922921
2019,10,2919312
2019,11,2925014
2019,12,2910211
2020,1,2905878
2020,2,2892506
2020,3,2868227
2020,4,2761774
2020,5,2678343
2020,6,2644729
2020,7,2631755
2020,8,2623639
2020,9,2632304
2020,10,2642217
2020,11,2654051
2020,12,2652929
2021,1,2645905
2021,2,2646567
2021,3,2659827
2021,4,2666079
2021,5,2679905
2021,6,2694385
2021,7,2702940
2021,8,2713738
2021,9,2731170
2021,10,2744559
2021,11,2754612
2021,12,2753360
2022,1,2753150
2022,2,2756964
2022,3,2773373
2022,4,2780445
2022,5,2798159
2022,6,2806800
2022,7,2817856
2022,8,2836572
2022,9,2852797
2022,10,2867101
2022,11,2877438
2022,12,2870658
2023,1,2864003
2023,2,2850119
2023,3,2857875
2023,4,2872006
2023,5,2896918
2023,6,2889694
