fecha,A,C,G,N,O
2009-01-01,130768,264043,283984,92285,237999
2009-02-01,129142,263270,281372,92394,242500
2009-03-01,130442,263474,282948,93253,243859
2009-04-01,131128,265082,284074,93754,250312
2009-05-01,131698,264309,283742,93585,252157
2009-06-01,133171,267126,284904,94344,254118
2009-07-01,136412,271071,289376,95030,251672
2009-08-01,138345,273439,291951,96262,250196
2009-09-01,140629,277675,297566,96911,259858
2009-10-01,141669,279905,301826,96575,261980
2009-11-01,142157,282677,306415,97095,263835
2009-12-01,140918,281881,307292,97295,265141
2010-01-01,144075,283902,308853,98271,259862
2010-02-01,142577,284455,307955,98190,265960
2010-03-01,143534,288314,312852,99150,269804
2010-04-01,145775,291627,317638,100497,272471
2010-05-01,146199,293506,323614,100868,275348
2010-06-01,148289,298155,329374,102084,276195
2010-07-01,151247,301284,333348,103342,277476
2010-08-01,151957,305271,339019,105286,279320
2010-09-01,153580,308976,345848,106217,282635
2010-10-01,155068,312776,352435,107954,285560
2010-11-01,156485,314891,360611,108834,289130
2010-12-01,156014,316352,363365,109334,289567
2011-01-01,159899,317395,365144,110771,283565
2011-02-01,159930,319241,368347,111398,290767
2011-03-01,162451,323849,374556,113033,293390
2011-04-01,165434,327029,383385,115613,296086
2011-05-01,170373,334169,397402,118104,298680
2011-06-01,176033,341806,407936,120101,299119
2011-07-01,180376,348701,416512,121224,300768
2011-08-01,183330,353589,423605,122784,301978
2011-09-01,184389,356136,430664,124087,304278
2011-10-01,185959,360198,437141,125327,306515
2011-11-01,186486,362731,446332,126062,308815
2011-12-01,186250,362302,450099,126587,312336
2012-01-01,192308,365091,450769,126773,304073
2012-02-01,189931,364932,450875,127489,311084
2012-03-01,189217,368587,456091,128500,315522
2012-04-01,190859,370033,461461,130335,320198
2012-05-01,191196,373050,466679,131499,319768
2012-06-01,189901,375171,469324,132696,321949
2012-07-01,192410,378681,474421,134273,323218
2012-08-01,193191,379475,479906,134847,323802
2012-09-01,193284,380337,484804,136140,325720
2012-10-01,195195,383234,491575,138482,328666
2012-11-01,195974,383786,498564,139141,332891
2012-12-01,193858,382495,499040,138933,333886
2013-01-01,197777,381354,501707,141626,335069
2013-02-01,194113,379812,500055,141098,349782
2013-03-01,193843,380700,503922,142679,349362
2013-04-01,195367,381987,509602,143496,347473
2013-05-01,195878,382793,512714,144873,350203
2013-06-01,197127,384429,514574,145488,353440
2013-07-01,200177,386088,518502,146426,354165
2013-08-01,200978,387402,521700,147499,355321
2013-09-01,201865,388301,524639,148674,355794
2013-10-01,203493,390453,529372,150397,359014
2013-11-01,204302,391518,536119,150507,359610
2013-12-01,203044,388568,536921,150605,358540
2014-01-01,208223,390952,533027,152064,354878
2014-02-01,205087,390480,531607,151883,365469
2014-03-01,203813,390592,532501,154154,374887
2014-04-01,205800,392069,535377,152627,379266
2014-05-01,206080,392455,537642,152920,380954
2014-06-01,206353,393492,537206,154256,392941
2014-07-01,208930,396013,536502,154721,411769
2014-08-01,211056,399422,541358,157526,428376
2014-09-01,212990,404229,543802,159040,449814
2014-10-01,216934,406390,547022,160487,466256
2014-11-01,217746,407223,550314,160297,469854
2014-12-01,215700,404232,550962,161226,466030
2015-01-01,219102,406904,537427,160342,466755
2015-02-01,213244,402677,535780,159062,470943
2015-03-01,211827,404583,537894,159991,473541
2015-04-01,212093,404159,538333,160310,473854
2015-05-01,212169,403086,537588,160549,476457
2015-06-01,211815,403277,537044,160891,478373
2015-07-01,213924,404653,535504,160591,476546
2015-08-01,213786,403647,534933,160144,471916
