fecha,provincia,ciiu4_1,count
2009-01-01,1,A,2098
2009-02-01,1,A,2178
2009-03-01,1,A,2237
2009-04-01,1,A,2188
2009-05-01,1,A,2149
2009-06-01,1,A,2179
2009-07-01,1,A,2144
2009-08-01,1,A,2111
2009-09-01,1,A,2198
2009-10-01,1,A,2169
2009-11-01,1,A,2170
2009-12-01,1,A,2161
2009-01-01,1,C,21269
2009-02-01,1,C,21218
2009-03-01,1,C,21334
2009-04-01,1,C,21559
2009-05-01,1,C,21758
2009-06-01,1,C,21701
2009-07-01,1,C,21966
2009-08-01,1,C,22086
2009-09-01,1,C,22406
2009-10-01,1,C,22690
2009-11-01,1,C,22866
2009-12-01,1,C,23198
2009-01-01,1,G,18772
2009-02-01,1,G,18494
2009-03-01,1,G,18531
2009-04-01,1,G,18666
2009-05-01,1,G,18702
2009-06-01,1,G,18755
2009-07-01,1,G,18898
2009-08-01,1,G,19010
2009-09-01,1,G,19335
2009-10-01,1,G,19592
2009-11-01,1,G,19784
2009-12-01,1,G,19933
2009-01-01,1,N,4209
2009-02-01,1,N,4146
2009-03-01,1,N,4121
2009-04-01,1,N,4147
2009-05-01,1,N,4135
2009-06-01,1,N,4208
2009-07-01,1,N,4279
2009-08-01,1,N,4295
2009-09-01,1,N,4409
2009-10-01,1,N,4414
2009-11-01,1,N,4418
2009-12-01,1,N,4476
2009-01-01,1,O,9695
2009-02-01,1,O,9826
2009-03-01,1,O,9915
2009-04-01,1,O,9977
2009-05-01,1,O,10012
2009-06-01,1,O,10049
2009-07-01,1,O,9838
2009-08-01,1,O,9629
2009-09-01,1,O,9965
2009-10-01,1,O,10114
2009-11-01,1,O,10085
2009-12-01,1,O,10144
2009-01-01,2,A,57
2009-02-01,2,A,57
2009-03-01,2,A,58
2009-04-01,2,A,57
2009-05-01,2,A,58
2009-06-01,2,A,59
2009-07-01,2,A,59
2009-08-01,2,A,62
2009-09-01,2,A,61
2009-10-01,2,A,61
2009-11-01,2,A,61
2009-12-01,2,A,62
2009-01-01,2,C,202
2009-02-01,2,C,200
2009-03-01,2,C,205
2009-04-01,2,C,208
2009-05-01,2,C,209
2009-06-01,2,C,208
2009-07-01,2,C,209
2009-08-01,2,C,208
2009-09-01,2,C,212
2009-10-01,2,C,223
2009-11-01,2,C,217
2009-12-01,2,C,215
2009-01-01,2,G,476
2009-02-01,2,G,481
2009-03-01,2,G,484
2009-04-01,2,G,486
2009-05-01,2,G,496
2009-06-01,2,G,499
2009-07-01,2,G,508
2009-08-01,2,G,501
2009-09-01,2,G,515
2009-10-01,2,G,526
2009-11-01,2,G,526
2009-12-01,2,G,530
2009-01-01,2,N,22
2009-02-01,2,N,21
2009-03-01,2,N,22
2009-04-01,2,N,23
2009-05-01,2,N,26
2009-06-01,2,N,26
2009-07-01,2,N,31
2009-08-01,2,N,45
2009-09-01,2,N,43
2009-10-01,2,N,44
2009-11-01,2,N,44
2009-12-01,2,N,49
2009-01-01,2,O,4499
2009-02-01,2,O,4752
2009-03-01,2,O,4688
2009-04-01,2,O,4814
2009-05-01,2,O,4888
2009-06-01,2,O,4967
2009-07-01,2,O,4765
2009-08-01,2,O,4750
2009-09-01,2,O,4952
2009-10-01,2,O,4890
2009-11-01,2,O,4893
2009-12-01,2,O,4885
